fps_value,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
1000.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
1500.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
2000.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
2500.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
3000.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
3500.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
4000.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
4500.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
5000.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
6000.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
7000.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
8000.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0
